	NT2000-50-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-51.86	84.69	1.00
4.394531	-49.94	91.32	0.99
5.859375	-47.56	101.44	0.98
7.324219	-44.16	104.23	0.99
8.789063	1234.57	45.00	1.00
10.253906	1234.57	45.00	1.00
11.718750	-27.03	104.33	0.91
13.183594	-23.70	104.76	0.98
14.648438	-20.02	105.66	0.99
16.113281	-17.99	99.71	1.00
17.578125	-18.16	98.87	1.00
19.042969	-17.83	93.94	1.00
20.507813	-17.85	95.27	1.00
21.972656	1234.57	45.00	1.00
23.437500	1234.57	45.00	1.00
24.902344	1234.57	45.00	1.00
26.367188	1234.57	45.00	1.00
27.832031	1234.57	45.00	1.00
29.296875	1234.57	45.00	1.00
30.761719	1234.57	45.00	1.00
32.226563	1234.57	45.00	1.00
33.691406	-3.50	36.26	1.00
35.156250	-3.51	35.43	1.00
36.621094	-3.54	33.44	1.00
38.085938	-3.58	32.47	1.00
39.550781	-3.32	30.52	1.00
41.015625	-3.14	29.10	1.00
42.480469	-3.19	29.16	1.00
43.945313	-3.37	27.68	1.00
45.410156	-3.50	25.73	1.00
46.875000	-3.37	24.27	1.00
48.339844	-3.45	23.81	1.00
49.804688	-3.68	24.04	1.00
51.269531	-3.95	24.77	1.00
52.734375	-4.12	25.98	1.00
54.199219	-4.11	27.73	0.99
55.664063	-3.86	29.57	1.00
57.128906	-3.63	30.40	1.00
58.593750	-3.40	29.64	1.00
60.058594	-3.20	28.86	1.00
61.523438	-3.16	28.60	1.00
62.988281	-3.11	28.75	1.00
64.453125	-3.00	28.92	1.00
65.917969	-2.87	29.66	1.00
67.382813	-2.71	30.52	0.98
68.847656	-2.53	28.98	0.96
70.312500	-2.29	25.24	0.98
71.777344	-2.30	23.33	1.00
73.242188	-2.50	22.76	1.00
74.707031	-2.81	23.04	1.00
76.171875	-2.92	23.90	1.00
77.636719	-2.83	24.91	0.99
79.101563	-2.69	24.93	0.99
80.566406	-2.50	24.04	1.00
82.031250	-2.41	23.34	1.00
83.496094	-2.40	22.76	1.00
84.960938	-2.43	22.32	1.00
86.425781	-2.46	22.23	1.00
87.890625	-2.47	22.42	1.00
89.355469	-2.44	22.79	1.00
90.820313	-2.42	22.96	1.00
92.285156	-2.42	22.94	1.00
93.750000	-2.37	22.98	1.00
95.214844	-2.28	23.06	1.00
96.679688	-2.17	23.02	1.00
98.144531	-2.06	22.88	1.00
99.609375	-1.97	22.81	1.00
101.074219	-1.89	22.76	1.00
102.539063	-1.80	22.70	1.00
104.003906	-1.70	22.48	0.99
105.468750	-1.67	22.40	1.00
106.933594	-1.64	22.45	1.00
108.398438	-1.59	22.59	1.00
109.863281	-1.50	22.49	1.00
111.328125	-1.38	22.10	1.00
112.792969	-1.24	21.46	1.00
114.257813	-1.12	20.39	1.00
115.722656	-1.12	19.23	1.00
117.187500	-1.19	18.20	1.00
118.652344	-1.26	17.62	1.00
120.117188	-1.30	17.20	1.00
121.582031	-1.32	16.67	1.00
123.046875	-1.35	15.97	1.00
124.511719	-1.41	15.28	1.00
125.976563	-1.49	14.60	1.00
127.441406	-1.63	14.22	1.00
128.906250	-1.78	14.23	1.00
130.371094	-1.90	14.65	1.00
131.835938	-1.97	15.22	1.00
133.300781	-2.00	15.82	1.00
134.765625	-2.00	16.43	1.00
136.230469	-2.00	17.10	1.00
137.695313	-1.98	17.87	1.00
139.160156	-1.92	18.72	1.00
140.625000	-1.83	19.51	1.00
142.089844	-1.69	20.17	1.00
143.554688	-1.51	20.46	1.00
145.019531	-1.29	20.33	1.00
146.484375	-1.09	19.92	1.00
147.949219	-0.91	19.25	1.00
149.414063	-0.75	18.35	1.00
150.878906	-0.62	17.22	1.00
152.343750	-0.53	16.00	1.00
153.808594	-0.47	14.73	1.00
155.273438	-0.44	13.38	1.00
156.738281	-0.47	11.85	1.00
158.203125	-0.57	10.32	0.99
159.667969	-0.74	9.07	1.00
161.132813	-0.91	8.21	1.00
162.597656	-1.07	7.64	1.00
164.062500	-1.24	7.23	1.00
165.527344	-1.41	7.02	1.00
166.992188	-1.56	7.00	1.00
168.457031	-1.69	7.12	1.00
169.921875	-1.80	7.31	1.00
171.386719	-1.91	7.56	1.00
172.851563	-2.01	7.90	1.00
174.316406	-2.10	8.32	1.00
175.781250	-2.17	8.82	1.00
177.246094	-2.24	9.36	1.00
178.710938	-2.29	10.01	1.00
180.175781	-2.31	10.74	1.00
181.640625	-2.31	11.56	1.00
183.105469	-2.29	12.28	1.00
184.570313	-2.25	12.92	1.00
186.035156	-2.20	13.47	1.00
187.500000	-2.13	13.92	1.00
188.964844	-2.04	14.16	1.00
190.429688	-1.97	14.11	0.99
191.894531	-1.94	13.79	0.99
193.359375	-1.93	13.44	1.00
194.824219	-1.92	13.23	1.00
196.289063	-1.90	13.04	1.00
197.753906	-1.87	12.81	1.00
199.218750	-1.82	12.46	1.00
200.683594	-1.77	11.94	0.99
202.148438	-1.74	11.14	0.98
203.613281	-1.75	10.15	1.00
205.078125	-1.80	9.42	1.00
206.542969	-1.87	8.88	1.00
208.007813	-1.94	8.46	1.00
209.472656	-2.03	8.16	1.00
210.937500	-2.13	8.02	1.00
212.402344	-2.24	8.09	1.00
213.867188	-2.32	8.29	1.00
215.332031	-2.39	8.53	1.00
216.796875	-2.44	8.79	1.00
218.261719	-2.48	9.03	1.00
219.726563	-2.53	9.30	1.00
221.191406	-2.57	9.60	1.00
222.656250	-2.61	9.90	1.00
224.121094	-2.65	10.21	1.00
225.585938	-2.70	10.54	1.00
227.050781	-2.75	10.91	1.00
228.515625	-2.78	11.34	1.00
229.980469	-2.81	11.84	1.00
231.445313	-2.84	12.35	1.00
232.910156	-2.86	12.89	1.00
234.375000	-2.87	13.48	1.00
235.839844	-2.88	14.11	1.00
237.304688	-2.87	14.76	1.00
238.769531	-2.85	15.42	1.00
240.234375	-2.81	16.02	1.00
241.699219	-2.76	16.52	1.00
243.164063	-2.71	16.90	1.00
244.628906	-2.66	17.21	1.00
246.093750	-2.61	17.51	1.00
247.558594	-2.56	17.79	1.00
249.023438	-2.51	18.04	1.00
250.488281	-2.46	18.25	1.00
251.953125	-2.42	18.45	1.00
253.417969	-2.37	18.65	1.00
254.882813	-2.33	18.89	1.00
256.347656	-2.29	19.17	1.00
257.812500	-2.24	19.47	1.00
259.277344	-2.18	19.79	1.00
260.742188	-2.11	20.09	1.00
262.207031	-2.02	20.34	1.00
263.671875	-1.93	20.52	1.00
265.136719	-1.84	20.58	1.00
266.601563	-1.75	20.57	1.00
268.066406	-1.66	20.56	1.00
269.531250	-1.56	20.51	1.00
270.996094	-1.46	20.41	1.00
272.460938	-1.36	20.23	1.00
273.925781	-1.26	19.94	1.00
275.390625	-1.17	19.54	1.00
276.855469	-1.08	19.10	1.00
278.320313	-1.01	18.61	1.00
279.785156	-0.94	18.07	1.00
281.250000	-0.88	17.51	1.00
282.714844	-0.83	16.92	1.00
284.179688	-0.79	16.30	1.00
285.644531	-0.75	15.63	1.00
287.109375	-0.72	14.87	1.00
288.574219	-0.70	14.06	1.00
290.039063	-0.71	13.25	1.00
291.503906	-0.73	12.46	1.00
292.968750	-0.75	11.71	1.00
294.433594	-0.79	11.01	1.00
295.898438	-0.84	10.34	1.00
297.363281	-0.89	9.74	1.00
298.828125	-0.96	9.21	1.00
300.292969	-1.02	8.72	1.00
301.757813	-1.09	8.26	1.00
303.222656	-1.17	7.85	1.00
304.687500	-1.25	7.51	1.00
306.152344	-1.33	7.22	1.00
307.617188	-1.41	6.97	1.00
309.082031	-1.49	6.76	1.00
310.546875	-1.57	6.53	1.00
312.011719	-1.66	6.29	0.99
313.476563	-1.76	6.13	0.99
314.941406	-1.86	6.11	1.00
316.406250	-1.95	6.14	1.00
317.871094	-2.03	6.21	1.00
319.335938	-2.11	6.30	1.00
320.800781	-2.18	6.42	1.00
322.265625	-2.26	6.56	1.00
323.730469	-2.33	6.75	1.00
325.195313	-2.40	6.97	1.00
326.660156	-2.46	7.25	1.00
328.125000	-2.52	7.58	1.00
329.589844	-2.57	7.90	1.00
331.054688	-2.61	8.22	1.00
332.519531	-2.64	8.53	1.00
333.984375	-2.66	8.81	1.00
335.449219	-2.69	9.07	1.00
336.914063	-2.71	9.32	1.00
338.378906	-2.74	9.56	1.00
339.843750	-2.76	9.79	1.00
341.308594	-2.78	10.02	1.00
342.773438	-2.80	10.24	1.00
344.238281	-2.82	10.47	1.00
345.703125	-2.85	10.71	1.00
347.167969	-2.87	10.95	1.00
348.632813	-2.90	11.22	1.00
350.097656	-2.92	11.49	1.00
351.562500	-2.94	11.79	1.00
353.027344	-2.96	12.10	1.00
354.492188	-2.97	12.43	1.00
355.957031	-2.98	12.75	1.00
357.421875	-2.99	13.07	1.00
358.886719	-2.99	13.37	1.00
360.351563	-3.00	13.66	1.00
361.816406	-3.00	13.93	1.00
363.281250	-2.99	14.20	1.00
364.746094	-2.99	14.45	1.00
366.210938	-2.99	14.68	1.00
367.675781	-2.99	14.92	1.00
369.140625	-2.99	15.17	1.00
370.605469	-2.98	15.41	1.00
372.070313	-2.98	15.64	1.00
373.535156	-2.98	15.87	1.00
375.000000	-2.97	16.09	1.00
376.464844	-2.96	16.32	1.00
377.929688	-2.96	16.54	1.00
379.394531	-2.95	16.76	1.00
380.859375	-2.94	16.97	1.00
382.324219	-2.93	17.19	1.00
383.789063	-2.92	17.39	1.00
385.253906	-2.90	17.58	1.00
386.718750	-2.88	17.74	1.00
388.183594	-2.87	17.87	1.00
389.648438	-2.86	17.96	1.00
391.113281	-2.85	18.04	1.00
392.578125	-2.85	18.11	1.00
394.042969	-2.85	18.19	1.00
395.507813	-2.85	18.27	1.00
396.972656	-2.85	18.36	1.00
398.437500	-2.86	18.49	1.00
399.902344	-2.87	18.63	1.00
401.367188	-2.88	18.82	1.00
402.832031	-2.89	19.02	1.00
404.296875	-2.90	19.25	1.00
405.761719	-2.91	19.51	1.00
