	NT2000-80-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-39.45	49.94	0.99
2.929688	-38.25	53.65	0.99
4.394531	-38.08	79.94	0.94
5.859375	-35.02	76.62	0.79
7.324219	-25.20	123.64	0.26
8.789063	-23.08	120.93	0.75
10.253906	-22.38	136.29	0.53
11.718750	-26.74	99.23	0.86
13.183594	-29.01	105.76	0.51
14.648438	-27.41	-21.05	0.38
16.113281	-21.90	-3.15	0.44
17.578125	-17.02	131.73	0.08
19.042969	-21.80	-49.77	0.45
20.507813	-21.36	170.29	0.78
21.972656	-21.70	105.86	0.36
23.437500	-23.10	147.80	0.42
24.902344	-17.64	66.17	0.45
26.367188	-9.60	34.12	0.67
27.832031	-5.30	30.17	0.82
29.296875	-7.28	37.93	0.93
30.761719	-7.45	32.62	0.98
32.226563	-7.76	30.00	0.95
33.691406	-10.04	27.00	0.95
35.156250	-9.95	32.14	0.97
36.621094	-11.39	23.46	0.95
38.085938	-11.46	21.13	0.97
39.550781	-11.16	21.15	0.96
41.015625	-9.84	23.03	0.88
42.480469	-10.29	26.58	0.96
43.945313	-10.80	24.52	0.97
45.410156	-10.73	21.20	0.97
46.875000	-10.99	16.74	0.96
48.339844	-11.46	15.36	0.98
49.804688	-11.87	19.36	0.96
51.269531	-12.42	24.74	0.96
52.734375	-12.71	27.42	0.98
54.199219	-12.71	29.65	0.96
55.664063	-12.52	33.40	0.97
57.128906	-11.92	32.20	0.98
58.593750	-11.68	28.54	0.99
60.058594	-11.56	25.45	0.99
61.523438	-11.40	21.85	0.99
62.988281	-11.49	19.01	0.98
64.453125	-11.62	18.81	0.99
65.917969	-11.41	18.52	0.99
67.382813	-10.80	17.71	0.96
68.847656	-9.90	14.17	0.76
70.312500	-9.79	3.30	0.74
71.777344	-10.85	3.32	0.84
73.242188	-11.64	4.18	0.95
74.707031	-12.36	5.13	0.96
76.171875	-12.59	7.91	0.86
77.636719	-12.31	12.80	0.53
79.101563	-12.27	17.22	0.88
80.566406	-12.04	20.07	0.69
82.031250	-11.97	20.10	0.78
83.496094	-12.25	24.61	0.86
84.960938	-12.08	31.55	0.96
86.425781	-11.56	35.87	0.98
87.890625	-11.02	37.24	0.99
89.355469	-10.55	36.29	0.99
90.820313	-10.28	34.93	0.99
92.285156	-10.23	32.68	1.00
93.750000	-10.12	31.03	1.00
95.214844	-9.99	29.72	1.00
96.679688	-9.83	28.72	1.00
98.144531	-9.61	27.80	1.00
99.609375	-9.37	26.94	1.00
101.074219	-9.12	25.78	1.00
102.539063	-8.87	24.56	1.00
104.003906	-8.61	23.21	0.99
105.468750	-8.50	21.78	0.99
106.933594	-8.47	20.95	0.97
108.398438	-8.43	20.14	0.96
109.863281	-8.30	19.17	0.99
111.328125	-8.12	17.40	0.98
112.792969	-8.01	14.77	0.99
114.257813	-8.06	10.61	0.97
115.722656	-8.36	8.11	0.97
117.187500	-8.66	6.47	0.99
118.652344	-8.95	6.00	0.99
120.117188	-9.17	6.22	0.99
121.582031	-9.34	6.27	0.98
123.046875	-9.56	6.18	0.99
124.511719	-9.76	6.21	0.99
125.976563	-9.90	6.20	0.98
127.441406	-10.03	6.01	0.98
128.906250	-10.22	6.52	0.99
130.371094	-10.44	8.17	0.97
131.835938	-10.64	11.06	0.94
133.300781	-10.76	14.38	0.94
134.765625	-10.61	17.39	0.96
136.230469	-10.20	20.13	0.84
137.695313	-9.64	22.54	0.98
139.160156	-9.02	24.07	0.98
140.625000	-8.36	24.73	0.98
142.089844	-7.73	24.09	0.97
143.554688	-7.16	22.73	0.96
145.019531	-6.76	19.36	0.95
146.484375	-6.50	16.04	0.99
147.949219	-6.29	12.92	1.00
149.414063	-6.13	9.79	1.00
150.878906	-6.02	6.57	0.99
152.343750	-5.97	3.37	0.99
153.808594	-5.92	0.55	0.99
155.273438	-5.92	-2.07	0.99
156.738281	-5.96	-4.69	0.98
158.203125	-6.10	-7.37	0.98
159.667969	-6.32	-9.56	0.97
161.132813	-6.58	-11.36	0.99
162.597656	-6.83	-12.91	0.98
164.062500	-7.12	-14.26	0.96
165.527344	-7.47	-15.95	0.98
166.992188	-7.82	-17.67	0.99
168.457031	-8.18	-19.23	0.98
169.921875	-8.54	-20.42	0.98
171.386719	-8.92	-21.52	1.00
172.851563	-9.28	-22.33	1.00
174.316406	-9.64	-22.85	1.00
175.781250	-9.97	-23.20	1.00
177.246094	-10.30	-23.28	0.99
178.710938	-10.61	-23.06	0.99
180.175781	-10.88	-22.70	1.00
181.640625	-11.12	-22.13	1.00
183.105469	-11.34	-21.23	0.99
184.570313	-11.52	-20.14	0.97
186.035156	-11.63	-18.89	0.94
187.500000	-11.55	-17.75	0.91
188.964844	-11.40	-16.89	0.96
190.429688	-11.33	-17.01	0.96
191.894531	-11.36	-18.31	0.96
193.359375	-11.48	-19.60	0.92
194.824219	-11.62	-20.46	0.98
196.289063	-11.72	-21.29	0.99
197.753906	-11.81	-22.27	0.99
199.218750	-11.91	-23.28	0.95
200.683594	-12.03	-24.30	0.84
202.148438	-12.16	-24.94	0.90
203.613281	-12.31	-25.78	0.88
205.078125	-12.51	-26.25	0.99
206.542969	-12.78	-26.94	0.99
208.007813	-13.11	-27.67	1.00
209.472656	-13.52	-28.34	0.99
210.937500	-14.02	-28.83	0.96
212.402344	-14.59	-28.17	0.84
213.867188	-15.16	-26.50	0.84
215.332031	-15.67	-23.57	0.86
216.796875	-16.04	-20.14	0.97
218.261719	-16.35	-16.19	1.00
219.726563	-16.61	-11.53	0.99
221.191406	-16.80	-6.07	0.95
222.656250	-16.93	0.13	0.83
224.121094	-16.95	6.78	0.94
225.585938	-16.95	13.69	0.46
227.050781	-16.86	20.57	0.64
228.515625	-16.63	26.68	0.91
229.980469	-16.27	31.70	0.92
231.445313	-15.85	35.58	0.94
232.910156	-15.40	38.55	0.98
234.375000	-14.94	40.71	0.97
235.839844	-14.47	42.18	0.97
237.304688	-13.94	43.20	0.96
238.769531	-13.39	43.89	0.90
240.234375	-12.85	43.77	0.99
241.699219	-12.36	42.98	0.96
243.164063	-11.91	41.89	0.99
244.628906	-11.50	40.74	0.99
246.093750	-11.12	39.58	0.99
247.558594	-10.77	38.36	0.99
249.023438	-10.45	37.00	1.00
250.488281	-10.16	35.58	1.00
251.953125	-9.91	34.10	0.97
253.417969	-9.68	32.67	0.97
254.882813	-9.51	31.72	0.99
256.347656	-9.33	30.83	1.00
257.812500	-9.15	29.96	1.00
