	SM57-65		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	1234.57	45.00	1.00
2.929688	-59.77	159.32	0.40
4.394531	-59.50	115.50	0.83
5.859375	-57.03	135.68	0.88
7.324219	-41.56	14.30	0.53
8.789063	-41.00	111.16	0.99
10.253906	-17.52	70.24	1.00
11.718750	-33.73	9.23	0.45
13.183594	-35.48	-163.60	0.82
14.648438	-26.85	5.45	0.35
16.113281	-32.53	154.33	0.57
17.578125	-33.15	167.41	0.90
19.042969	-30.37	-175.57	0.94
20.507813	-23.70	-160.61	0.82
21.972656	-17.23	-60.00	0.34
23.437500	-22.06	166.92	0.92
24.902344	-13.64	112.33	0.43
26.367188	-16.95	130.57	0.99
27.832031	1234.57	45.00	1.00
29.296875	-9.52	144.35	0.47
30.761719	-11.61	93.65	0.54
32.226563	-10.71	-67.49	0.32
33.691406	-12.15	21.54	0.45
35.156250	-11.17	70.42	0.49
36.621094	-10.73	106.47	0.38
38.085938	-10.43	133.95	0.87
39.550781	-9.73	130.78	0.65
41.015625	-6.47	115.37	0.21
42.480469	-2.40	118.28	0.31
43.945313	-0.42	78.99	0.45
45.410156	-2.78	71.08	0.72
46.875000	-3.95	62.13	0.36
48.339844	-4.69	37.86	0.40
49.804688	-5.14	56.12	0.70
51.269531	-5.88	76.15	0.67
52.734375	-6.29	98.07	0.81
54.199219	-6.18	120.21	0.76
55.664063	-5.47	153.08	0.54
57.128906	-5.04	161.44	0.73
58.593750	-3.74	169.32	0.58
60.058594	-2.37	97.48	0.64
61.523438	-1.75	80.51	0.32
62.988281	-1.18	79.54	0.50
64.453125	-0.97	75.85	0.67
65.917969	-0.83	78.15	0.67
67.382813	-0.72	73.61	0.68
68.847656	-0.81	67.74	0.88
70.312500	-0.74	61.65	0.49
71.777344	0.29	50.82	0.22
73.242188	0.48	40.63	0.54
74.707031	-0.56	62.89	0.15
76.171875	-2.12	72.41	0.62
77.636719	-3.44	69.55	0.61
79.101563	-4.54	71.93	0.91
80.566406	-5.61	75.59	0.91
82.031250	-6.79	79.14	0.67
83.496094	-7.69	83.28	0.63
84.960938	-7.81	87.68	0.65
86.425781	-7.87	88.07	0.89
87.890625	-7.69	85.91	0.94
89.355469	-7.36	82.02	0.77
90.820313	-6.85	78.55	0.54
92.285156	-6.44	76.79	0.80
93.750000	-5.93	76.30	0.90
95.214844	-5.37	76.66	0.91
96.679688	-4.99	77.28	0.89
98.144531	-4.68	76.93	0.93
99.609375	-4.49	75.77	0.97
101.074219	-4.31	74.45	0.98
102.539063	-4.10	72.54	0.96
104.003906	-3.95	72.02	0.87
105.468750	-3.83	72.99	0.76
106.933594	-3.77	75.24	0.91
108.398438	-3.60	78.03	0.98
109.863281	-3.32	80.12	0.98
111.328125	-2.92	81.87	0.97
112.792969	-2.50	83.62	0.91
114.257813	-2.07	85.44	0.87
115.722656	-1.64	85.44	0.89
117.187500	-1.28	83.40	0.91
118.652344	-0.86	81.26	0.90
120.117188	-0.42	77.62	0.94
121.582031	-0.12	73.02	0.95
123.046875	-0.01	68.50	0.98
124.511719	0.02	64.55	0.94
125.976563	-0.01	60.86	0.96
127.441406	-0.13	56.85	0.98
128.906250	-0.42	52.86	0.98
130.371094	-0.74	50.04	0.98
131.835938	-1.08	47.53	0.97
133.300781	-1.43	45.40	0.99
134.765625	-1.71	43.67	1.00
136.230469	-1.90	42.30	0.99
137.695313	-2.05	41.13	0.97
139.160156	-2.16	40.07	0.86
140.625000	-2.29	38.99	0.88
142.089844	-2.53	39.63	0.95
143.554688	-2.79	40.56	0.96
145.019531	-2.99	41.59	0.97
146.484375	-3.12	42.52	0.98
147.949219	-3.24	43.02	0.98
149.414063	-3.35	43.11	0.91
150.878906	-3.46	42.57	0.97
152.343750	-3.58	41.96	0.99
153.808594	-3.67	41.32	0.99
155.273438	-3.71	40.69	0.99
156.738281	-3.74	40.21	0.98
158.203125	-3.77	40.02	0.95
159.667969	-3.71	39.98	0.95
161.132813	-3.58	40.11	0.96
162.597656	-3.41	40.20	0.94
164.062500	-3.25	39.99	0.88
165.527344	-3.11	39.47	0.97
166.992188	-2.95	38.60	0.96
168.457031	-2.77	37.37	0.97
169.921875	-2.64	35.85	0.99
171.386719	-2.59	34.23	0.99
172.851563	-2.58	32.87	0.97
174.316406	-2.60	31.93	0.97
175.781250	-2.64	31.09	1.00
177.246094	-2.70	30.42	1.00
178.710938	-2.79	29.96	0.99
180.175781	-2.90	29.54	0.99
181.640625	-3.03	29.30	0.99
183.105469	-3.12	29.15	0.98
184.570313	-3.18	29.05	0.99
186.035156	-3.22	28.59	0.98
187.500000	-3.26	27.77	0.99
188.964844	-3.34	26.77	0.99
190.429688	-3.46	25.91	1.00
191.894531	-3.61	25.14	0.99
193.359375	-3.75	24.54	0.97
194.824219	-3.88	24.05	0.95
196.289063	-4.03	24.03	0.98
197.753906	-4.17	24.16	0.99
199.218750	-4.28	24.42	0.97
200.683594	-4.38	24.81	0.99
202.148438	-4.48	25.25	1.00
203.613281	-4.56	25.75	1.00
205.078125	-4.63	26.28	1.00
206.542969	-4.69	26.92	0.99
208.007813	-4.74	27.63	0.99
209.472656	-4.80	28.41	0.99
210.937500	-4.84	29.19	0.98
212.402344	-4.88	29.81	0.99
213.867188	-4.92	30.27	0.98
215.332031	-5.00	30.86	0.97
216.796875	-5.11	31.56	0.93
218.261719	-5.21	32.43	0.98
219.726563	-5.29	33.38	0.96
221.191406	-5.36	34.34	0.99
222.656250	-5.40	35.26	1.00
224.121094	-5.43	36.14	0.99
225.585938	-5.44	36.98	1.00
227.050781	-5.43	37.87	1.00
228.515625	-5.41	38.78	1.00
229.980469	-5.38	39.71	1.00
231.445313	-5.34	40.70	1.00
232.910156	-5.28	41.73	1.00
234.375000	-5.20	42.83	0.99
235.839844	-5.08	43.91	0.98
237.304688	-4.94	44.86	0.99
238.769531	-4.79	45.60	1.00
240.234375	-4.63	46.18	0.99
241.699219	-4.49	46.63	0.98
243.164063	-4.32	47.07	0.99
244.628906	-4.14	47.49	1.00
246.093750	-3.94	47.82	0.99
247.558594	-3.72	48.03	0.99
249.023438	-3.49	48.01	0.99
250.488281	-3.26	47.72	0.99
251.953125	-3.02	47.27	0.97
253.417969	-2.79	46.65	0.96
254.882813	-2.58	45.76	0.97
256.347656	-2.41	44.52	0.98
257.812500	-2.27	42.93	0.97
259.277344	-2.17	41.24	0.99
260.742188	-2.11	39.70	0.99
262.207031	-2.09	38.39	0.98
263.671875	-2.09	37.27	0.98
265.136719	-2.08	36.31	1.00
266.601563	-2.07	35.49	1.00
268.066406	-2.06	34.81	1.00
269.531250	-2.05	34.26	0.99
270.996094	-2.04	33.80	0.99
272.460938	-2.02	33.37	0.98
273.925781	-1.98	32.93	0.93
275.390625	-1.92	32.44	0.98
276.855469	-1.85	31.85	0.99
278.320313	-1.78	31.12	0.99
279.785156	-1.72	30.22	0.99
281.250000	-1.65	29.30	0.94
282.714844	-1.57	28.36	0.98
284.179688	-1.50	27.33	1.00
285.644531	-1.43	26.24	1.00
287.109375	-1.37	25.08	1.00
288.574219	-1.33	23.80	0.98
290.039063	-1.30	22.52	0.98
291.503906	-1.27	21.27	0.99
292.968750	-1.26	19.93	0.99
294.433594	-1.28	18.47	0.97
295.898438	-1.32	16.83	0.99
297.363281	-1.40	15.37	1.00
298.828125	-1.52	14.10	1.00
300.292969	-1.66	12.98	1.00
301.757813	-1.82	12.02	1.00
303.222656	-2.00	11.20	0.99
304.687500	-2.21	10.59	0.98
306.152344	-2.42	10.19	0.99
307.617188	-2.63	9.99	0.99
309.082031	-2.82	9.89	1.00
310.546875	-3.00	9.86	0.99
312.011719	-3.17	9.93	0.98
313.476563	-3.32	10.01	1.00
314.941406	-3.45	10.14	1.00
316.406250	-3.58	10.31	1.00
317.871094	-3.69	10.52	1.00
319.335938	-3.79	10.76	1.00
320.800781	-3.89	11.03	0.99
322.265625	-3.98	11.31	0.98
323.730469	-4.06	11.63	0.99
325.195313	-4.14	11.99	1.00
326.660156	-4.21	12.40	0.99
328.125000	-4.26	12.78	1.00
329.589844	-4.31	13.11	1.00
331.054688	-4.34	13.39	0.99
332.519531	-4.38	13.62	0.99
333.984375	-4.42	13.81	0.98
335.449219	-4.46	14.03	1.00
336.914063	-4.51	14.30	0.99
338.378906	-4.57	14.61	0.99
339.843750	-4.62	15.00	0.99
341.308594	-4.67	15.39	0.99
342.773438	-4.71	15.75	0.98
344.238281	-4.75	16.11	0.99
345.703125	-4.78	16.44	0.99
347.167969	-4.79	16.74	0.99
348.632813	-4.80	17.00	1.00
350.097656	-4.81	17.23	0.99
351.562500	-4.81	17.42	1.00
353.027344	-4.81	17.55	1.00
354.492188	-4.81	17.62	1.00
355.957031	-4.82	17.61	0.99
357.421875	-4.83	17.54	0.98
358.886719	-4.85	17.43	0.96
360.351563	-4.88	17.33	0.99
361.816406	-4.92	17.24	1.00
363.281250	-4.98	17.19	1.00
364.746094	-5.06	17.20	0.99
366.210938	-5.14	17.29	0.96
367.675781	-5.23	17.48	0.97
369.140625	-5.31	17.76	0.98
370.605469	-5.38	18.18	0.99
372.070313	-5.44	18.69	0.99
373.535156	-5.50	19.32	0.99
375.000000	-5.54	20.03	0.99
376.464844	-5.56	20.76	0.99
377.929688	-5.57	21.48	0.99
379.394531	-5.57	22.19	0.99
380.859375	-5.56	22.84	0.99
382.324219	-5.54	23.44	1.00
383.789063	-5.52	24.00	0.97
385.253906	-5.50	24.56	0.98
386.718750	-5.47	25.17	0.99
388.183594	-5.44	25.81	0.99
389.648438	-5.40	26.43	0.99
391.113281	-5.36	27.01	1.00
392.578125	-5.32	27.55	0.99
394.042969	-5.27	28.04	0.98
395.507813	-5.21	28.50	1.00
396.972656	-5.15	28.91	1.00
398.437500	-5.09	29.28	0.99
399.902344	-5.02	29.61	0.99
401.367188	-4.96	29.90	1.00
402.832031	-4.89	30.16	1.00
404.296875	-4.83	30.39	1.00
405.761719	-4.77	30.61	0.99
